BBE  OBJ  
1  8.71166203832920045e+07 
2  8.29109035296327025e+07 
3  8.08535877498748451e+07 
7  7.42011430910972357e+07 
23  6.70332018744220883e+07 
209  5.75345890507173836e+07 
221  5.56144010208916850e+06 
241  5.22403035852913931e+06 
244  4.43949442930690479e+06 
246  1.12409747889568494e+06 
254  1.00008325878258306e+06 
265  3.58179264984088019e+05 
282  1.61880780016149278e+05 
297  1.40471249195610289e+05 
334  1.40394816208828503e+05 
353  1.24366477306635003e+05 
370  1.22854468396020893e+05 
374  1.17007446691713732e+05 
395  3.74644896220367955e+04 
448  3.01205250109464905e+04 
452  2.16555841339490325e+04 
461  1.13747032931907906e+04 
484  1.08136591539955625e+04 
